Username;Followers;Avg_Likes;Avg_Comments;Avg_Views;Engagement_Rate;Niche;Price;Views_from_Collab;Likes_from_Collab;Comments_from_Collab;Share_from_Collab;CPM;Rating;;
keanu.weiss;195;25;1;369;0.1342;1;20000;2066;16;5;3;9680,54211;4;;
chiarachimut_;11093;146;40;1491;0.1690;1;20000;4660;496;81;739;4291,845494;5;;
nisa_ichanchi;3007;107;29;359;0.0457;6;20000;1732;79;59;5;11547,34411;4;;
alephbarael;1353;57;32;71;0.0660;1;20000;456;36;18;25;43859,64912;2;;
mazayanafeesha_huda;11815;190;99;3631;0.0245;1;50000;2200;201;83;15;22727,27273;3;;
najmanuraluna;11104;10;28;793;0.0035;1;50000;1692;;51;0;29550,82742;3;;
rasyena.meccayla;13020;99;40;270;0.0108;1;50000;6826;113;33;5;7324,934076;4;;
rasyena.meccayla;13020;99;40;270;0.0108;1;50000;2300;269;79;10;21739,13043;3;;
zealeshaarach;5913;123;71;243;0.0330;1;25000;753;158;33;1;33200,53121;3;;
nssofia_;16956;77;40;550;0.069;1;50000;2435;121;64;14;20533,8809;3;;
arsenioeijaz;2688;45;56;220;0.0379;1;50000;890;43;103;0;56179,77528;2;;
unaabatari;14917;86;44;595;0.0088;1;50000;3600;299;110;11;13888,88889;4;;
zealeshaarach;5913;123;71;243;0.0330;1;25000;1042;91;77;22;23992,32246;3;;
mikaylaa_azzahraa;10903;189;110;302;0.0275;1;50000;1400;246;100;8;35714,28571;2;;
dewiangkasa;5492;37;26;656;0.0117;6;50000;20000;42;9;0;2500;5;;
valeriefioren;11927;188;46;333;0.0197;1;100000;5400;454;46;3;18518,51852;4;;
clemiraabidahjeivi;9173;91;90;325;0.0199;1;50000;2400;192;63;4;20833,33333;3;;
haura.kinanti;19206;144;24;2786;0.0088;1;50000;2500;127;23;3;20000;3;;
jeanjuvencia;9905;34;1;220;0.0035;6;150000;2300;97;7;0;65217,3913;2;;
ahsyaqeela.shezan;4139;71;49;416;0.0292;1;50000;2188;161;58;3;22851,91956;3;;
mutiara_sandhika;47332;80;22;88;0.0219;1;50000;1143;128;43;6;43744,53193;2;;
amorra.joanna;962;59;27;257;0.0895;1;50000;691;154;66;433;72358,90014;2;;
jeavelynkylie;12899;262;60;549;0.0251;1;100000;4000;143;29;11;25000;3;;
ladyrazan;69498;18810;593;359551;0.2792;6;650000;6845;111;41;2;94959,82469;2;;
aisyahezlin_;4634;77;29;1653;0.0231;1;50000;969;133;29;4;51599,5872;2;;
jasminerajwaarisha;16190;4;18;291;0.0014;1;100000;1200;156;29;3;83333,33333;2;;
pujianervine;19875;161;6;192;0.084;6;50000;1104;343;4;0;45289,85507;2;;
babyannatasya17;7046;50;26;1200;0.0109;1;50000;2300;163;32;12;21739,13043;3;;
nabilaa_azzahrra;2417;23;11;137;0.0144;1;50000;1100;161;69;12;45454,54545;2;;
anggun.7;6453;73;41;1294;0.0179;6;300000;27000;218;71;2000;11111,11111;4;;
ghazea_cluth;11226;30;31;49;0.0027;1;100000;409;38;11;1;244498,7775;1;;
renitips;159176;163;9;2895;0.0011;8;500000;4900;165;5;20;102040,8163;1;;
rsaemm;166414;59053;140;735341;0.3557;1;1000000;55000;1500;15;33;18181,81818;4;;
zayn_maliq2;6417;114;41;1300;0.0242;1;50000;5300;131;11;422;9433,962264;4;;
jeavelynkylie;12899;262;60;549;0.0251;1;50000;2300;164;29;2;21739,13043;3;;
aiman_mahenda21;19829;6042;122;2401;0.3109;5;150000;11000;695;34;36;13636,36364;4;;
